Project names,Status,Notes
a4j-1.0b,Working,
asm-5.0.1,Working,Bloodhound fails
bcel-5.2,Working,
ClassViewer-5.0.5b,Working,Bloodhound does not terminate
commons-cli-1.2,Working,
commons-codec-1.9,Working,
commons-collections4-4.0,Working,
commons-compress-1.8,Working,""
commons-lang3-3.0,TODO,It occasionally gets stuck during Randoop test generation process
commons-math3-3.2,Working,
commons-primitives-1.0,Working,
dcParseArgs-10.2008,Working,
easymock-3.2,Working,
fixsuite-r48,,
guava-16.0.1,TODO,Sometimes does not terminate
hamcrest-core-1.3,"",Ignore this project for now
javassist-3.19,Working,
javax.mail-1.5.1,Working,
jaxen-1.1.6,Working,
jcommander-1.35,Working,
jdom-1.0,TODO,`JDOMAbout` from jdom build target `about` not included in scripts/build.xml compilation process
joda-time-2.3,Working,
JSAP-2.1,Working,""
jvc-1.1,,
nekomud-r16,Working,
pmd-core-5.2.2,,
sat4j.core-2.3.5,,
shiro-root-1.2.3,,
slf4j-api-1.7.12,,
tinySQL-2.26,Working,
